DateTime,Players,Twitch Viewers
29/05/2020 00:00,6318,976
30/05/2020 00:00,6551,709
31/05/2020 00:00,6863,817
01/06/2020 00:00,6559,621
02/06/2020 00:00,6133,1454
03/06/2020 00:00,6140,2046
04/06/2020 00:00,6120,2267
05/06/2020 00:00,6112,2098
06/06/2020 00:00,6028,1634
07/06/2020 00:00,6541,1426
08/06/2020 00:00,5951,1942
09/06/2020 00:00,5958,1231
10/06/2020 00:00,5884,756
11/06/2020 00:00,6041,1050
12/06/2020 00:00,5787,733
13/06/2020 00:00,5863,633
14/06/2020 00:00,6329,711
15/06/2020 00:00,5832,621
16/06/2020 00:00,5878,595
17/06/2020 00:00,5923,666
18/06/2020 00:00,5861,716
19/06/2020 00:00,5776,593
20/06/2020 00:00,5785,580
21/06/2020 00:00,6267,658
22/06/2020 00:00,5890,1255
23/06/2020 00:00,5548,563
24/06/2020 00:00,5585,1096
25/06/2020 00:00,5408,500
26/06/2020 00:00,5362,569
27/06/2020 00:00,5432,813
28/06/2020 00:00,5901,854
29/06/2020 00:00,5542,533
30/06/2020 00:00,5278,476
01/07/2020 00:00,5254,547
02/07/2020 00:00,5243,570
03/07/2020 00:00,5054,588
04/07/2020 00:00,5199,519
05/07/2020 00:00,5503,1192
06/07/2020 00:00,5189,480
07/07/2020 00:00,5142,578
08/07/2020 00:00,5167,636
09/07/2020 00:00,5113,592
10/07/2020 00:00,5814,1374
11/07/2020 00:00,5980,961
12/07/2020 00:00,6299,1759
13/07/2020 00:00,5792,1039
14/07/2020 00:00,5790,3220
15/07/2020 00:00,5426,978
16/07/2020 00:00,5463,835
17/07/2020 00:00,5538,724
18/07/2020 00:00,5505,846
19/07/2020 00:00,5808,968
20/07/2020 00:00,5447,874
21/07/2020 00:00,5473,625
22/07/2020 00:00,5239,791
23/07/2020 00:00,5369,706
24/07/2020 00:00,5252,733
25/07/2020 00:00,5457,516
26/07/2020 00:00,5878,836
27/07/2020 00:00,5520,741
28/07/2020 00:00,5351,637
29/07/2020 00:00,5526,635
30/07/2020 00:00,5389,667
31/07/2020 00:00,5322,622
01/08/2020 00:00,5452,806
02/08/2020 00:00,5923,718
03/08/2020 00:00,5491,633
04/08/2020 00:00,5806,726
05/08/2020 00:00,5473,580
06/08/2020 00:00,5390,615
07/08/2020 00:00,5327,573
08/08/2020 00:00,5331,653
09/08/2020 00:00,5656,705
10/08/2020 00:00,5238,557
11/08/2020 00:00,5234,623
12/08/2020 00:00,5283,469
13/08/2020 00:00,5303,1478
14/08/2020 00:00,5152,680
15/08/2020 00:00,5398,610
16/08/2020 00:00,5717,722
17/08/2020 00:00,5367,625
18/08/2020 00:00,5323,554
19/08/2020 00:00,5448,479
20/08/2020 00:00,5377,3794
21/08/2020 00:00,5197,504
22/08/2020 00:00,5400,634
23/08/2020 00:00,5744,817
24/08/2020 00:00,5415,667
25/08/2020 00:00,5179,580
26/08/2020 00:00,5379,555
27/08/2020 00:00,5209,549
28/08/2020 00:00,5158,637
29/08/2020 00:00,5297,718
30/08/2020 00:00,5462,716
31/08/2020 00:00,5172,660
01/09/2020 00:00,5091,659
02/09/2020 00:00,4977,1074
03/09/2020 00:00,4996,1098
04/09/2020 00:00,5072,804
05/09/2020 00:00,5265,932
06/09/2020 00:00,5791,741
07/09/2020 00:00,5181,1082
08/09/2020 00:00,5356,1217
09/09/2020 00:00,5391,1045
10/09/2020 00:00,5345,1110
11/09/2020 00:00,5323,1075
12/09/2020 00:00,5774,1102
13/09/2020 00:00,6035,1107
14/09/2020 00:00,5614,1006
15/09/2020 00:00,5575,859
16/09/2020 00:00,5613,926
17/09/2020 00:00,5546,888
18/09/2020 00:00,5432,1019
19/09/2020 00:00,5601,1031
20/09/2020 00:00,5970,723
21/09/2020 00:00,5536,681
22/09/2020 00:00,5436,816
23/09/2020 00:00,5369,745
24/09/2020 00:00,5233,648
25/09/2020 00:00,5205,649
26/09/2020 00:00,5443,964
27/09/2020 00:00,5808,912
28/09/2020 00:00,5104,659
29/09/2020 00:00,5047,514
30/09/2020 00:00,4697,557
01/10/2020 00:00,4497,623
02/10/2020 00:00,4674,691
03/10/2020 00:00,4914,651
04/10/2020 00:00,5379,778
05/10/2020 00:00,4827,795
06/10/2020 00:00,5028,609
07/10/2020 00:00,5083,555
