"DateTime","Players","Flags","Twitch Viewers"
"2018-07-28 00:00:00",1066,,661
"2018-07-29 00:00:00",1076,,643
"2018-07-30 00:00:00",957,,5095
"2018-07-31 00:00:00",911,,4849
"2018-08-01 00:00:00",860,,1535
"2018-08-02 00:00:00",885,,355
"2018-08-03 00:00:00",909,,1852
"2018-08-04 00:00:00",1034,,4356
"2018-08-05 00:00:00",1078,,5144
"2018-08-06 00:00:00",922,,4359
"2018-08-07 00:00:00",830,,3707
"2018-08-08 00:00:00",794,,6780
"2018-08-09 00:00:00",890,,574
"2018-08-10 00:00:00",1069,,1202
"2018-08-11 00:00:00",1285,,595
"2018-08-12 00:00:00",1214,,412
"2018-08-13 00:00:00",956,,5922
"2018-08-14 00:00:00",868,,957
"2018-08-15 00:00:00",840,,1611
"2018-08-16 00:00:00",799,,1010
"2018-08-17 00:00:00",839,,330
"2018-08-18 00:00:00",1048,,490
"2018-08-19 00:00:00",1045,,399
"2018-08-20 00:00:00",870,,916
"2018-08-21 00:00:00",765,,321
"2018-08-22 00:00:00",710,,1314
"2018-08-23 00:00:00",698,,481
"2018-08-24 00:00:00",805,,301
"2018-08-25 00:00:00",972,,4493
"2018-08-26 00:00:00",982,,5147
"2018-08-27 00:00:00",800,,756
"2018-08-28 00:00:00",676,,606
"2018-08-29 00:00:00",664,,714
"2018-08-30 00:00:00",661,,610
"2018-08-31 00:00:00",782,,287
"2018-09-01 00:00:00",1039,,741
"2018-09-02 00:00:00",1027,,7135
"2018-09-03 00:00:00",903,,557
"2018-09-04 00:00:00",781,,298
"2018-09-05 00:00:00",589,,4646
"2018-09-06 00:00:00",593,,602
"2018-09-07 00:00:00",734,,573
"2018-09-08 00:00:00",1011,,6273
"2018-09-09 00:00:00",1007,,6746
"2018-09-10 00:00:00",728,,802
"2018-09-11 00:00:00",574,,780
"2018-09-12 00:00:00",589,,525
"2018-09-13 00:00:00",595,,949
"2018-09-14 00:00:00",733,,742
"2018-09-15 00:00:00",1010,,689
"2018-09-16 00:00:00",947,,515
"2018-09-17 00:00:00",693,,2065
"2018-09-18 00:00:00",618,,159
"2018-09-19 00:00:00",559,,1025
"2018-09-20 00:00:00",607,,1358
"2018-09-21 00:00:00",721,,271
"2018-09-22 00:00:00",1001,,1861
"2018-09-23 00:00:00",979,,267
"2018-09-24 00:00:00",739,,438
"2018-09-25 00:00:00",566,,1633
"2018-09-26 00:00:00",572,,498
"2018-09-27 00:00:00",537,,559
"2018-09-28 00:00:00",682,,536
"2018-09-29 00:00:00",983,,1075
"2018-09-30 00:00:00",915,,475
"2018-10-01 00:00:00",738,,463
"2018-10-02 00:00:00",574,,393
"2018-10-03 00:00:00",594,,417
"2018-10-04 00:00:00",563,,1155
"2018-10-05 00:00:00",736,,276
"2018-10-06 00:00:00",968,,514
"2018-10-07 00:00:00",923,,369
"2018-10-08 00:00:00",741,,340
"2018-10-09 00:00:00",623,,145
"2018-10-10 00:00:00",581,,1637
"2018-10-11 00:00:00",580,,651
"2018-10-12 00:00:00",759,,128
"2018-10-13 00:00:00",1010,,694
"2018-10-14 00:00:00",921,,466
"2018-10-15 00:00:00",719,,203
"2018-10-16 00:00:00",590,,392
"2018-10-17 00:00:00",585,,1106
"2018-10-18 00:00:00",543,,455
"2018-10-19 00:00:00",894,,302
"2018-10-20 00:00:00",1480,,788
"2018-10-21 00:00:00",1542,,2191
"2018-10-22 00:00:00",1148,,334
"2018-10-23 00:00:00",946,,160
"2018-10-24 00:00:00",914,,533
"2018-10-25 00:00:00",872,,762
"2018-10-26 00:00:00",1015,,274
"2018-10-27 00:00:00",1332,,3913
"2018-10-28 00:00:00",1293,,450
"2018-10-29 00:00:00",959,,694
"2018-10-30 00:00:00",790,,467
"2018-10-31 00:00:00",778,,249
"2018-11-01 00:00:00",853,,103
"2018-11-02 00:00:00",1098,,609
"2018-11-03 00:00:00",1281,,533
"2018-11-04 00:00:00",1135,,383
"2018-11-05 00:00:00",843,,2554
"2018-11-06 00:00:00",713,,582
"2018-11-07 00:00:00",667,,110
"2018-11-08 00:00:00",701,,353
"2018-11-09 00:00:00",912,,541
"2018-11-10 00:00:00",1184,,251
"2018-11-11 00:00:00",1107,,169
"2018-11-12 00:00:00",848,,290
"2018-11-13 00:00:00",768,,2951
"2018-11-14 00:00:00",650,,247
"2018-11-15 00:00:00",679,,1952
"2018-11-16 00:00:00",828,,1979
"2018-11-17 00:00:00",1094,,300
"2018-11-18 00:00:00",1002,,1457
"2018-11-19 00:00:00",856,,202
"2018-11-20 00:00:00",755,,182
"2018-11-21 00:00:00",825,,298
"2018-11-22 00:00:00",1024,,1917
"2018-11-23 00:00:00",1264,,375
"2018-11-24 00:00:00",1360,,1839
"2018-11-25 00:00:00",1240,,4770
"2018-11-26 00:00:00",968,,2234
"2018-11-27 00:00:00",775,,2176
"2018-11-28 00:00:00",766,,233
"2018-11-29 00:00:00",730,,1053
"2018-11-30 00:00:00",890,,162
"2018-12-01 00:00:00",1163,,612
"2018-12-02 00:00:00",1081,,1664
"2018-12-03 00:00:00",866,,315
"2018-12-04 00:00:00",692,,259
"2018-12-05 00:00:00",676,,2164
"2018-12-06 00:00:00",692,,1253
"2018-12-07 00:00:00",748,,10822
"2018-12-08 00:00:00",991,,22665
"2018-12-09 00:00:00",903,,1101
"2018-12-10 00:00:00",739,,3565
"2018-12-11 00:00:00",615,,1393
"2018-12-12 00:00:00",605,,702
"2018-12-13 00:00:00",607,,1327
"2018-12-14 00:00:00",728,,2104
"2018-12-15 00:00:00",934,,988
"2018-12-16 00:00:00",865,,1479
"2018-12-17 00:00:00",689,,1144
"2018-12-18 00:00:00",661,,1164
"2018-12-19 00:00:00",660,,431
"2018-12-20 00:00:00",707,,432
"2018-12-21 00:00:00",985,,11525
"2018-12-22 00:00:00",1163,,806
"2018-12-23 00:00:00",1136,,136
"2018-12-24 00:00:00",1199,,184
"2018-12-25 00:00:00",1429,,456
"2018-12-26 00:00:00",1303,,229
"2018-12-27 00:00:00",1305,,1050
"2018-12-28 00:00:00",1212,,672
"2018-12-29 00:00:00",1322,,144
"2018-12-30 00:00:00",1391,,269
"2018-12-31 00:00:00",1431,,2328
"2019-01-01 00:00:00",1365,,1133
"2019-01-02 00:00:00",1134,,3298
"2019-01-03 00:00:00",1123,,1312
"2019-01-04 00:00:00",1081,,1090
"2019-01-05 00:00:00",1200,,350
"2019-01-06 00:00:00",1197,,3086
"2019-01-07 00:00:00",1002,,846
"2019-01-08 00:00:00",763,,688
"2019-01-09 00:00:00",735,,197
"2019-01-10 00:00:00",718,,1204
"2019-01-11 00:00:00",834,,183632
"2019-01-12 00:00:00",1150,,5103
"2019-01-13 00:00:00",1091,,7979
"2019-01-14 00:00:00",850,,306
"2019-01-15 00:00:00",742,,302
"2019-01-16 00:00:00",688,,825
"2019-01-17 00:00:00",709,,24415
"2019-01-18 00:00:00",887,,2953
"2019-01-19 00:00:00",1171,,16199
"2019-01-20 00:00:00",1066,,25538
"2019-01-21 00:00:00",926,,22686
"2019-01-22 00:00:00",769,,1488
"2019-01-23 00:00:00",739,,2767
"2019-01-24 00:00:00",708,,577
"2019-01-25 00:00:00",849,,3126
"2019-01-26 00:00:00",1077,,1054
"2019-01-27 00:00:00",1016,,4601
"2019-01-28 00:00:00",798,,2945
"2019-01-29 00:00:00",676,,165
"2019-01-30 00:00:00",704,,2790
"2019-01-31 00:00:00",708,,4159
"2019-02-01 00:00:00",754,,754
"2019-02-02 00:00:00",1002,,269
"2019-02-03 00:00:00",977,,860
"2019-02-04 00:00:00",694,,3612
"2019-02-05 00:00:00",664,,556
"2019-02-06 00:00:00",664,,3796
"2019-02-07 00:00:00",673,,1170
"2019-02-08 00:00:00",821,,263
"2019-02-09 00:00:00",1087,,1045
"2019-02-10 00:00:00",1035,,978
"2019-02-11 00:00:00",820,,111
"2019-02-12 00:00:00",718,,504
"2019-02-13 00:00:00",637,,446
"2019-02-14 00:00:00",584,,274
"2019-02-15 00:00:00",718,,137
"2019-02-16 00:00:00",957,,238
"2019-02-17 00:00:00",922,,963
"2019-02-18 00:00:00",762,,1591
"2019-02-19 00:00:00",654,,3317
"2019-02-20 00:00:00",587,,1690
"2019-02-21 00:00:00",549,,1432
"2019-02-22 00:00:00",687,,212
"2019-02-23 00:00:00",921,,17496
"2019-02-24 00:00:00",893,,5972
"2019-02-25 00:00:00",671,,261
"2019-02-26 00:00:00",531,,140
"2019-02-27 00:00:00",549,,351
"2019-02-28 00:00:00",534,,399
"2019-03-01 00:00:00",673,,219
"2019-03-02 00:00:00",854,,472
"2019-03-03 00:00:00",845,,212
"2019-03-04 00:00:00",646,,333
"2019-03-05 00:00:00",570,,411
"2019-03-06 00:00:00",551,,552
"2019-03-07 00:00:00",522,,940
"2019-03-08 00:00:00",637,,1046
"2019-03-09 00:00:00",900,,496
"2019-03-10 00:00:00",848,,670
"2019-03-11 00:00:00",629,,525
"2019-03-12 00:00:00",548,,289
"2019-03-13 00:00:00",524,,367
"2019-03-14 00:00:00",557,,616
"2019-03-15 00:00:00",716,,183
"2019-03-16 00:00:00",860,,366
"2019-03-17 00:00:00",842,,382
"2019-03-18 00:00:00",653,,604
"2019-03-19 00:00:00",554,,999
"2019-03-20 00:00:00",606,,280
"2019-03-21 00:00:00",674,,724
"2019-03-22 00:00:00",868,,425
"2019-03-23 00:00:00",1051,,153
"2019-03-24 00:00:00",1064,,724
"2019-03-25 00:00:00",802,,2958
"2019-03-26 00:00:00",679,,846
"2019-03-27 00:00:00",681,,1178
"2019-03-28 00:00:00",673,,245
"2019-03-29 00:00:00",842,,925
"2019-03-30 00:00:00",1095,,2854
"2019-03-31 00:00:00",1031,,432
"2019-04-01 00:00:00",778,,794
"2019-04-02 00:00:00",666,,309
"2019-04-03 00:00:00",660,,676
"2019-04-04 00:00:00",672,,571
"2019-04-05 00:00:00",860,,857
"2019-04-06 00:00:00",1127,,2119
"2019-04-07 00:00:00",1041,,564
"2019-04-08 00:00:00",774,,216
"2019-04-09 00:00:00",639,,455
"2019-04-10 00:00:00",636,,510
"2019-04-11 00:00:00",644,,816
"2019-04-12 00:00:00",757,,639
"2019-04-13 00:00:00",1016,,9737
"2019-04-14 00:00:00",989,,11071
"2019-04-15 00:00:00",763,,988
"2019-04-16 00:00:00",680,,462
"2019-04-17 00:00:00",676,,491
"2019-04-18 00:00:00",937,,1306
"2019-04-19 00:00:00",1257,,818
"2019-04-20 00:00:00",1506,,783
"2019-04-21 00:00:00",1512,,447
"2019-04-22 00:00:00",1124,,1625
"2019-04-23 00:00:00",1028,,994
"2019-04-24 00:00:00",1030,,590
"2019-04-25 00:00:00",980,,536
"2019-04-26 00:00:00",1085,,709
"2019-04-27 00:00:00",1478,,453
"2019-04-28 00:00:00",1429,,378
"2019-04-29 00:00:00",1062,,728
"2019-04-30 00:00:00",957,,405
"2019-05-01 00:00:00",1098,,3347
"2019-05-02 00:00:00",918,,2965
"2019-05-03 00:00:00",1030,,542
"2019-05-04 00:00:00",1310,,1715
"2019-05-05 00:00:00",1365,,555
"2019-05-06 00:00:00",1003,,1058
"2019-05-07 00:00:00",837,,545
"2019-05-08 00:00:00",793,,775
"2019-05-09 00:00:00",799,,1362
"2019-05-10 00:00:00",947,,2314
"2019-05-11 00:00:00",1234,,966
"2019-05-12 00:00:00",1218,,3782
"2019-05-13 00:00:00",934,,1067
"2019-05-14 00:00:00",809,,315
"2019-05-15 00:00:00",800,,355
"2019-05-16 00:00:00",791,,1061
"2019-05-17 00:00:00",907,,260
"2019-05-18 00:00:00",1181,,299
"2019-05-19 00:00:00",1128,,467
"2019-05-20 00:00:00",893,,276
"2019-05-21 00:00:00",751,,856
"2019-05-22 00:00:00",692,,136
"2019-05-23 00:00:00",712,,768
