,Country/Region,Province,Date,Type,Reference,Lat,Lng
247,US,Alaska,3/28/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,64.2008413,-149.4936733
248,US,Arizona,3/31/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,34.0489281,-111.0937311
249,US,Arkansas,,None,,35.20105,-91.8318334
250,US,California,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,36.778261,-119.4179324
251,US,Colorado,3/26/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,39.5500507,-105.7820674
252,US,Connecticut,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,41.6032207,-73.087749
253,US,Delaware,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,38.9108325,-75.52766989999999
254,US,District of Columbia,,None,,38.9071923,-77.0368707
255,US,Florida,4/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,27.6648274,-81.5157535
256,US,Georgia,,None,,32.1656221,-82.9000751
257,US,Guam,3/26/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Guam,13.444304,144.793731
258,US,Hawaii,3/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,19.8967662,-155.5827818
259,US,Idaho,3/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,44.0682019,-114.7420408
260,US,Illinois,3/21/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,40.6331249,-89.3985283
261,US,Indiana,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,40.2671941,-86.1349019
262,US,Iowa,,None,,41.8780025,-93.097702
263,US,Kansas,3/30/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,39.011902,-98.4842465
264,US,Kentucky,3/26/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,37.8393332,-84.2700179
265,US,Louisiana,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,30.9842977,-91.96233269999999
